sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.9728320576221668
6.9,3.1,5.1,2.3,virginica,0.9691274433325491
5.1,2.5,3.0,1.1,versicolor,0.9564062349227855
4.4,2.9,,0.2,setosa,0.6387575784706927
5.9,3.0,5.1,1.8,virginica,0.7686639781363973
5.5,3.5,1.3,0.2,setosa,0.9610668237318445
5.6,,3.6,1.3,versicolor,0.9434391272531375
6.5,3.0,5.2,2.0,virginica,0.9526971542253331
5.3,3.7,1.5,0.2,setosa,0.9676123552147878
5.1,3.4,1.5,,setosa,0.8175688689228733
6.1,2.8,4.0,1.3,versicolor,0.9818397163696956
5.5,2.4,3.7,1.0,versicolor,0.9819288947030982
7.7,3.0,6.1,2.3,virginica,0.9641573678401028
6.9,3.1,4.9,1.5,versicolor,0.7689690429187386
6.0,2.2,5.0,1.5,versicolor,0.6086364368106613
